names,scores,logfoldchanges,pvals,pvals_adj,comparison,-log10_padj
KPNA6,-0.13545932,-3.4617355,0.8922487247176631,0.9231791904011906,R_Pre_vs_NR_Pre,0.03471399361186083
CYB5RL,-0.13647425,,0.8914463786466058,0.9225086615993316,R_Pre_vs_NR_Pre,0.035029547480951266
PLEKHA6,-0.13732003,,0.89077784177476,0.9219232013475448,R_Pre_vs_NR_Pre,0.03530525532397013
PDE7A,-0.13779366,-1.0557765,0.8904034950098803,0.9216697936603286,R_Pre_vs_NR_Pre,0.03542464562456353
KDM4B,-0.13897775,,0.8894677351612148,0.920886080648844,R_Pre_vs_NR_Pre,0.035794091416199686
MSLN,-0.13907924,-3.3311617,0.8893875343206014,0.9208561957081066,R_Pre_vs_NR_Pre,0.03580818553243084
FAM126B,-0.13911307,,0.8893608009585952,0.9208561957081066,R_Pre_vs_NR_Pre,0.03580818553243084
SRP54,-0.13948521,0.4999798,0.8890667422869736,0.9206303309555927,R_Pre_vs_NR_Pre,0.035914721002275274
IFT43,-0.13955288,-3.6206744,0.8890132787126777,0.920628114163954,R_Pre_vs_NR_Pre,0.035915766743983904
SASS6,-0.13972203,,0.8888796219860656,0.9205959964888016,R_Pre_vs_NR_Pre,0.03593091810878619
SLC15A1,-0.14050014,,0.8882648417881871,0.9200123986371327,R_Pre_vs_NR_Pre,0.03620631980291621
TPCN1,-0.14097378,,0.8878906606362245,0.9196779460961193,R_Pre_vs_NR_Pre,0.03636422778459006
FARS2,-0.14104144,-7.7239437,0.8878372082234727,0.919675685229119,R_Pre_vs_NR_Pre,0.036365295422749265
SYNGAP1,-0.14117676,-0.3334618,0.8877303049285141,0.9196180532344471,R_Pre_vs_NR_Pre,0.03639251158377005
SMIM19,-0.14148124,-0.682777,0.8874897799850328,0.9194750879849554,R_Pre_vs_NR_Pre,0.03646003292642711
IMMP2L,-0.14168422,2.7405205,0.8873294357775442,0.9193620642856575,R_Pre_vs_NR_Pre,0.03651342054580446
NELL2,-0.14181955,-15.352155,0.8872225422007185,0.9193575161456005,R_Pre_vs_NR_Pre,0.03651556903233902
LRRC40,-0.14330812,,0.8860468486724473,0.9184045054597457,R_Pre_vs_NR_Pre,0.03696599440221399
IFI44,-0.14357877,-2.0320525,0.8858331130808842,0.9182360232559896,R_Pre_vs_NR_Pre,0.0370456734580242
UBQLN4,-0.14513499,,0.884604295078184,0.9172272742839574,R_Pre_vs_NR_Pre,0.03752303975227231
MKNK1,-0.14527032,,0.8844974544118989,0.9171972056580074,R_Pre_vs_NR_Pre,0.037537277065906594
ERAP1,-0.14574395,1.1393437,0.884123528632433,0.916887775718829,R_Pre_vs_NR_Pre,0.03768381740374306
DEXI,-0.1458116,,0.8840701127690385,0.916887775718829,R_Pre_vs_NR_Pre,0.03768381740374306
LRSAM1,-0.14594693,0.7162434,0.8839632826234683,0.9168806154562146,R_Pre_vs_NR_Pre,0.0376872089580499
