source,target,lr_pair,pvalue,mean
CAF_iCAF,Macrophage,"('IL6', 'MSR1')",0.0,1.5355784893035889
T_cells,B_cells,"('PTPN6', 'CD79A')",0.0,1.5217108726501465
T_cells,T_cells,"('CD8A', 'CD4')",0.0,1.4786983728408813
Stellate_PSC,B_cells,"('CXCL8', 'CD79A')",0.0,1.43610680103302
T_cells,B_cells,"('FYN', 'CD79A')",0.0,1.4335570335388184
CAF_iCAF,B_cells,"('PTPN6', 'CD79A')",0.0,1.4276831150054932
B_cells,B_cells,"('CXCL8', 'CD79A')",0.0,1.4226887226104736
CAF_iCAF,B_cells,"('FYN', 'CD79A')",0.0,1.4117708206176758
Endocrine,B_cells,"('FYN', 'CD79A')",0.0,1.4099723100662231
NK_cells,B_cells,"('CXCL8', 'CD79A')",0.0,1.4007567167282104
Ductal_Epithelial,B_cells,"('PTPN6', 'CD79A')",0.0,1.3961312770843506
Ductal_Epithelial,B_cells,"('FYN', 'CD79A')",0.0,1.3939968347549438
Endocrine,B_cells,"('PTPN6', 'CD79A')",0.0,1.3865069150924683
Unknown,B_cells,"('FYN', 'CD79A')",0.0,1.376525640487671
Myeloid,B_cells,"('CXCL8', 'CD79A')",0.0,1.3764220476150513
Macrophage,B_cells,"('PTPN6', 'CD79A')",0.0,1.3673977851867676
CAF_iCAF,B_cells,"('CXCL8', 'CD79A')",0.0,1.3561726808547974
Myeloid,B_cells,"('PTPN6', 'CD79A')",0.0,1.3514193296432495
CAF_iCAF,CAF_iCAF,"('IL6', 'CXCL12')",0.0,1.2417521476745605
CAF_iCAF,T_cells,"('CXCL12', 'CD4')",0.0,1.164290428161621
CAF_iCAF,Unknown,"('IL6', 'NOTCH3')",0.0,1.1617690324783325
CAF_iCAF,Unknown,"('IL6', 'MMP9')",0.0,1.1143057346343994
CAF_iCAF,Unknown,"('IL6', 'VEGFA')",0.0,1.045037031173706
T_cells,T_cells,"('PTPN6', 'CD3E')",0.0,1.0309290885925293
T_cells,B_cells,"('CD8A', 'IL2RG')",0.0,1.0263910293579102
T_cells,B_cells,"('FYN', 'MS4A1')",0.0,1.0254428386688232
CAF_iCAF,Unknown,"('IL6', 'MTOR')",0.0,1.0233327150344849
T_cells,B_cells,"('PTPN6', 'CD79B')",0.0,1.0215061902999878
CAF_iCAF,Unknown,"('IL6', 'MAPK3')",0.0,1.017289400100708
CAF_iCAF,B_cells,"('FYN', 'MS4A1')",0.0,1.0036566257476807
