source,target,lr_pair,pvalue,mean
CAF_iCAF,Macrophage,"('IL6', 'MSR1')",0.0,1.1732137203216553
Unknown,Myeloid,"('ICAM4', 'ITGAM')",0.0,1.1622549295425415
Endocrine,Stellate_PSC,"('INS', 'PDGFRB')",0.0,1.1082451343536377
CAF_iCAF,CAF_iCAF,"('IL6', 'CXCL12')",0.0,1.0573124885559082
Acinar,Myeloid,"('HP', 'ITGAM')",0.0,1.0109820365905762
CAF_iCAF,Myeloid,"('ICAM2', 'ITGAM')",0.0,0.9847189784049988
Stellate_PSC,Myeloid,"('ICAM1', 'ITGAM')",0.0,0.9836568236351013
Endocrine,Unknown,"('PPY', 'MTNR1A')",0.0,0.9798188805580139
Endocrine,Myeloid,"('CCN1', 'ITGAM')",0.0,0.9794726371765137
Stellate_PSC,Myeloid,"('IL2', 'ITGAM')",0.0,0.9794253706932068
Macrophage,Myeloid,"('ICAM4', 'ITGAM')",0.0,0.9769750237464905
Myeloid,Myeloid,"('CCN2', 'ITGAM')",0.0,0.9769479036331177
Macrophage,Myeloid,"('CCN2', 'ITGAM')",0.0,0.9728856682777405
Endocrine,Myeloid,"('PLG', 'ITGAM')",0.0,0.9702246785163879
Stellate_PSC,Myeloid,"('KNG1', 'ITGAM')",0.0,0.9691280722618103
Acinar,Myeloid,"('CCN1', 'ITGAM')",0.0,0.9608911275863647
Macrophage,Myeloid,"('KNG1', 'ITGAM')",0.0,0.9590128660202026
CAF_iCAF,Myeloid,"('IL2', 'ITGAM')",0.0,0.9542848467826843
Endocrine,Myeloid,"('APOB', 'ITGAM')",0.0,0.9532431364059448
Endocrine,Myeloid,"('IL2', 'ITGAM')",0.0,0.9471955299377441
Endothelial,Myeloid,"('JAM3', 'ITGAM')",0.0,0.9452580213546753
Myeloid,Myeloid,"('JAM3', 'ITGAM')",0.0,0.9432594180107117
CAF_iCAF,Myeloid,"('CCN2', 'ITGAM')",0.0,0.9431302547454834
Endocrine,Myeloid,"('MST1', 'ITGAM')",0.0,0.9429994225502014
Unknown,Myeloid,"('CD40LG', 'ITGAM')",0.0,0.9372316598892212
Acinar,Myeloid,"('ICAM4', 'ITGAM')",0.0,0.9362893104553223
Endothelial,Myeloid,"('CCN1', 'ITGAM')",0.0,0.9336007237434387
Macrophage,Myeloid,"('ICAM1', 'ITGAM')",0.0,0.9326184391975403
Endothelial,Myeloid,"('HP', 'ITGAM')",0.0,0.9309341311454773
Endocrine,Myeloid,"('JAM3', 'ITGAM')",0.0,0.925413966178894
