sample,platform,Epithelial,Myeloid,Endothelial,Immune,Smooth_Muscle,Stromal,Low_Confidence,Unknown,Ductal_Epithelial,CAF_myCAF,NK_cells,T_cells,Macrophage,CAF_iCAF,Endocrine,B_cells,Acinar,Stellate_PSC
A01,G4X,0.29322933952870894,0.1405575838035181,0.12894125456355793,0.10288748755393295,0.10073016926651178,0.10056422170594093,0.09591769000995685,0.03717225356787255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B01,G4X,0.26134160527336175,0.1410107276722244,0.13480677265089827,0.10094351815949335,0.11218818663564689,0.10973245443970531,0.10443324285898928,0.035543492309680756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YP03A,Visium,0.0,0.04512067156348373,0.05771248688352571,0.0,0.0,0.0,0.2088142707240294,0.03777544596012592,0.11227701993704092,0.08289611752360965,0.07240293809024134,0.07030430220356768,0.06400839454354669,0.05981112277019937,0.05876180482686254,0.05456453305351522,0.040923399790136414,0.03462749213011543
YP03C,Visium,0.0,0.06373117033603708,0.07531865585168018,0.0,0.0,0.0,0.15295480880648898,0.011587485515643106,0.14831981460023175,0.12282734646581692,0.023174971031286212,0.04866743916570104,0.09154113557358054,0.05214368482039398,0.10428736964078796,0.013904982618771726,0.03476245654692932,0.056778679026651215
YP04C,Visium,0.0,0.054336468129571575,0.06844305120167189,0.0,0.0,0.0,0.16248693834900732,0.0010449320794148381,0.20741901776384536,0.10553814002089865,0.051201671891327065,0.06635318704284221,0.07210031347962383,0.06374085684430512,0.03187042842215256,0.054858934169279,0.011494252873563218,0.04911180773249739
YP12A,Visium,0.0,0.0546984572230014,0.06661991584852735,0.0,0.0,0.0,0.16900420757363255,0.020336605890603085,0.10729312762973352,0.08485273492286115,0.07643758765778401,0.07082748948106592,0.0694249649368864,0.06311360448807854,0.04978962131837307,0.07223001402524544,0.0455820476858345,0.04978962131837307
YP12C,Visium,0.0,0.05470459518599562,0.053610503282275714,0.0,0.0,0.0,0.1400437636761488,0.0262582056892779,0.1050328227571116,0.07986870897155361,0.06455142231947483,0.05689277899343545,0.060175054704595186,0.05689277899343545,0.0962800875273523,0.04048140043763676,0.11487964989059081,0.05032822757111598
YP15A,Visium,0.0,0.0531767955801105,0.055248618784530384,0.0,0.0,0.0,0.1526243093922652,0.008977900552486187,0.162292817679558,0.10359116022099447,0.07044198895027624,0.06629834254143646,0.07251381215469613,0.0531767955801105,0.0531767955801105,0.07044198895027624,0.049723756906077346,0.028314917127071824
YP15C,Visium,0.0,0.05046197583511016,0.053304904051172705,0.0,0.0,0.0,0.12295664534470505,0.03909026297085998,0.05472636815920398,0.12651030561478321,0.0845771144278607,0.07960199004975124,0.07178393745557925,0.06538734896943853,0.08315565031982942,0.07107320540156362,0.04619758351101635,0.0511727078891258
