names,scores,logfoldchanges,pvals,pvals_adj,comparison,-log10_padj
TGFB1,55.87042,,0.0,0.0,R_Post_vs_NR_Post,100.0
COPZ2,55.847965,18.323961,0.0,0.0,R_Post_vs_NR_Post,100.0
SNED1,55.820965,-0.7103171,0.0,0.0,R_Post_vs_NR_Post,100.0
SF1,55.752483,2.467795,0.0,0.0,R_Post_vs_NR_Post,100.0
NDUFB1,55.725006,,0.0,0.0,R_Post_vs_NR_Post,100.0
CST6,55.624035,,0.0,0.0,R_Post_vs_NR_Post,100.0
CXCL6,55.55234,-2.1603343,0.0,0.0,R_Post_vs_NR_Post,100.0
CARD11,55.474323,-0.97646844,0.0,0.0,R_Post_vs_NR_Post,100.0
PRAG1,55.439735,2.3114026,0.0,0.0,R_Post_vs_NR_Post,100.0
LATS2,55.438362,,0.0,0.0,R_Post_vs_NR_Post,100.0
SNRPG,55.43106,,0.0,0.0,R_Post_vs_NR_Post,100.0
STS,55.404022,,0.0,0.0,R_Post_vs_NR_Post,100.0
ACAD9,55.36787,25.779747,0.0,0.0,R_Post_vs_NR_Post,100.0
MVD,55.367794,,0.0,0.0,R_Post_vs_NR_Post,100.0
UNC13D,55.35251,,0.0,0.0,R_Post_vs_NR_Post,100.0
VWA5A,55.336094,0.7235047,0.0,0.0,R_Post_vs_NR_Post,100.0
GSDMB,55.308674,-3.7574086,0.0,0.0,R_Post_vs_NR_Post,100.0
VDAC1,55.256756,,0.0,0.0,R_Post_vs_NR_Post,100.0
MAST2,55.232067,,0.0,0.0,R_Post_vs_NR_Post,100.0
ZNF362,55.216244,,0.0,0.0,R_Post_vs_NR_Post,100.0
CHD7,55.14497,,0.0,0.0,R_Post_vs_NR_Post,100.0
ATXN2L,55.048264,,0.0,0.0,R_Post_vs_NR_Post,100.0
MORF4L2,54.981632,18.856045,0.0,0.0,R_Post_vs_NR_Post,100.0
PIP4K2B,54.974773,-2.1516662,0.0,0.0,R_Post_vs_NR_Post,100.0
UCP2,54.97445,,0.0,0.0,R_Post_vs_NR_Post,100.0
KDELR1,54.843903,-5.7400255,0.0,0.0,R_Post_vs_NR_Post,100.0
IVD,54.82166,-3.6076224,0.0,0.0,R_Post_vs_NR_Post,100.0
CYTH3,54.818928,0.00015135143,0.0,0.0,R_Post_vs_NR_Post,100.0
RBMX,54.815945,,0.0,0.0,R_Post_vs_NR_Post,100.0
DTX4,54.80299,1.2348942,0.0,0.0,R_Post_vs_NR_Post,100.0
MCM5,54.79972,18.536655,0.0,0.0,R_Post_vs_NR_Post,100.0
MYL12A,54.798615,17.648571,0.0,0.0,R_Post_vs_NR_Post,100.0
CARD10,54.77104,3.2539618,0.0,0.0,R_Post_vs_NR_Post,100.0
PSD3,54.72587,2.5696647,0.0,0.0,R_Post_vs_NR_Post,100.0
PARVB,54.70168,-0.315363,0.0,0.0,R_Post_vs_NR_Post,100.0
PRR12,54.68515,1.9243798,0.0,0.0,R_Post_vs_NR_Post,100.0
INPP4B,54.624653,,0.0,0.0,R_Post_vs_NR_Post,100.0
RAB11A,54.624096,,0.0,0.0,R_Post_vs_NR_Post,100.0
EDNRA,54.61592,,0.0,0.0,R_Post_vs_NR_Post,100.0
PCSK5,54.608334,,0.0,0.0,R_Post_vs_NR_Post,100.0
PPP1R11,54.599068,1.7490335,0.0,0.0,R_Post_vs_NR_Post,100.0
CDK6,54.592033,0.56620926,0.0,0.0,R_Post_vs_NR_Post,100.0
EPB41L4A,54.546745,,0.0,0.0,R_Post_vs_NR_Post,100.0
RIPOR1,54.50981,,0.0,0.0,R_Post_vs_NR_Post,100.0
TMEM35B,54.47302,-2.4064264,0.0,0.0,R_Post_vs_NR_Post,100.0
MFSD12,54.463264,,0.0,0.0,R_Post_vs_NR_Post,100.0
TTC9,54.4282,,0.0,0.0,R_Post_vs_NR_Post,100.0
IDUA,54.387135,0.2981363,0.0,0.0,R_Post_vs_NR_Post,100.0
CHST15,54.37227,,0.0,0.0,R_Post_vs_NR_Post,100.0
PTPRJ,54.36237,0.016505651,0.0,0.0,R_Post_vs_NR_Post,100.0
XAF1,54.349014,-0.286173,0.0,0.0,R_Post_vs_NR_Post,100.0
FNDC3A,54.346092,,0.0,0.0,R_Post_vs_NR_Post,100.0
MINDY2,54.312977,0.609462,0.0,0.0,R_Post_vs_NR_Post,100.0
KDELR3,54.299965,,0.0,0.0,R_Post_vs_NR_Post,100.0
PAPSS2,54.29171,,0.0,0.0,R_Post_vs_NR_Post,100.0
CD4,54.26788,1.8046421,0.0,0.0,R_Post_vs_NR_Post,100.0
KCTD13,54.255287,,0.0,0.0,R_Post_vs_NR_Post,100.0
LRP3,54.24707,,0.0,0.0,R_Post_vs_NR_Post,100.0
PTGS2,54.23081,,0.0,0.0,R_Post_vs_NR_Post,100.0
CREB3L2,54.17419,-0.2763463,0.0,0.0,R_Post_vs_NR_Post,100.0
LPIN2,54.144573,-0.13451704,0.0,0.0,R_Post_vs_NR_Post,100.0
ACY1,54.13997,-1.2652727,0.0,0.0,R_Post_vs_NR_Post,100.0
TSPYL2,54.09581,1.3992374,0.0,0.0,R_Post_vs_NR_Post,100.0
GFPT2,54.08106,15.197942,0.0,0.0,R_Post_vs_NR_Post,100.0
RASA3,54.04072,,0.0,0.0,R_Post_vs_NR_Post,100.0
TNS2,54.01926,0.60238314,0.0,0.0,R_Post_vs_NR_Post,100.0
LPCAT2,53.99272,-2.1704187,0.0,0.0,R_Post_vs_NR_Post,100.0
ZNF512,53.935127,-0.6608637,0.0,0.0,R_Post_vs_NR_Post,100.0
CRYZ,53.866932,-1.0815557,0.0,0.0,R_Post_vs_NR_Post,100.0
TK2,53.811974,-0.8408148,0.0,0.0,R_Post_vs_NR_Post,100.0
MSRB3,53.738407,12.50812,0.0,0.0,R_Post_vs_NR_Post,100.0
ATG101,53.726753,,0.0,0.0,R_Post_vs_NR_Post,100.0
TSC22D1,53.726696,-0.13656507,0.0,0.0,R_Post_vs_NR_Post,100.0
NOP10,53.717274,-0.27973482,0.0,0.0,R_Post_vs_NR_Post,100.0
SPECC1,53.6833,1.9672924,0.0,0.0,R_Post_vs_NR_Post,100.0
SAP30BP,53.645485,,0.0,0.0,R_Post_vs_NR_Post,100.0
PLEKHG2,53.621063,,0.0,0.0,R_Post_vs_NR_Post,100.0
ARHGEF17,53.612446,,0.0,0.0,R_Post_vs_NR_Post,100.0
FBP1,53.590664,0.4449428,0.0,0.0,R_Post_vs_NR_Post,100.0
INSR,53.57996,,0.0,0.0,R_Post_vs_NR_Post,100.0
OST4,53.52384,,0.0,0.0,R_Post_vs_NR_Post,100.0
DCBLD1,53.516273,,0.0,0.0,R_Post_vs_NR_Post,100.0
ABLIM3,53.45062,-0.97445256,0.0,0.0,R_Post_vs_NR_Post,100.0
MXRA5,53.429367,1.6061784,0.0,0.0,R_Post_vs_NR_Post,100.0
TIA1,53.428566,,0.0,0.0,R_Post_vs_NR_Post,100.0
NT5DC2,53.374165,,0.0,0.0,R_Post_vs_NR_Post,100.0
BICC1,53.34942,,0.0,0.0,R_Post_vs_NR_Post,100.0
ITGA11,53.30503,,0.0,0.0,R_Post_vs_NR_Post,100.0
TPP2,53.245106,1.7078637,0.0,0.0,R_Post_vs_NR_Post,100.0
THOC2,53.244,,0.0,0.0,R_Post_vs_NR_Post,100.0
ENTPD7,53.241016,-4.072834,0.0,0.0,R_Post_vs_NR_Post,100.0
DNTTIP1,53.228905,16.56519,0.0,0.0,R_Post_vs_NR_Post,100.0
LIF,53.227337,,0.0,0.0,R_Post_vs_NR_Post,100.0
PLBD2,53.202553,-0.8175695,0.0,0.0,R_Post_vs_NR_Post,100.0
PDE3A,53.192196,17.952225,0.0,0.0,R_Post_vs_NR_Post,100.0
TTC7A,53.185833,0.9923801,0.0,0.0,R_Post_vs_NR_Post,100.0
