sample_id,n_cells,total_immune_pct,cd8_pct,treg_pct,cd8_treg_ratio,macrophage_pct,m1_like_pct,epithelial_pct,stromal_pct,pct_pd1_pos_t_cells,pct_pdl1_pos_tumor,cd8_exhaustion_score,pct_cd8_exhausted,n_cd8_t_cells
A01,127792,20.00046951295856,0.944503568298485,0.6041066733441843,1.5380122205073732,4.584011518717917,50.0,19.57947289345186,14.50716789783398,35.41666666666667,18.812197753886736,0.23237919466439275,25.020712510356258,1207
B01,30194,20.00066238325495,3.1297608796449627,0.06955024176988805,39.34319758195459,3.2456779492614425,50.0,18.22216334371067,14.953301980525932,8.776779543883897,19.738276990185387,0.24258829283234973,24.97354497354497,945
C01,38588,20.001036591686535,2.689955426557479,0.6763760754638748,3.919069330526303,1.7622058671089458,50.0,19.474966310770185,15.224940395978024,15.497553017944535,34.424484364604126,0.24613838910449,25.048169556840076,1038
D01,31711,19.99936930402699,3.276465579767273,0.4950963388098767,6.486813164172562,2.9894989120494464,50.0,18.785279555990034,10.340260477436852,28.510638297872344,22.612053046835655,0.2617343135901307,25.02406159769009,1039
E01,34353,20.00116438156784,3.8453701277908774,0.765580880854656,4.958051729631922,1.5893808401013014,50.0,19.538322708351526,11.035426309201526,26.023282012767556,21.811680572109655,0.15888193255119587,24.98107494322483,1321
F01,62875,20.0,3.778926441351889,1.4266401590457256,2.630391763419731,2.3618290258449304,49.966329966329965,17.94512922465209,9.87355864811133,35.015027908973806,18.860232207746165,0.20732895441309931,25.0,2376
G01,158727,19.998487969910602,3.495939569197427,1.7697052171338208,1.9643363044288686,1.3690172434431445,49.976990335941096,18.718302494219635,7.3402760714938236,40.015243902439025,28.46083941974353,0.14801775920033206,24.9954946837268,5549
H01,85842,20.00069895855176,4.387129843200299,0.816616574637124,5.307333506016623,1.5493581230633025,50.0,19.517252626919223,11.634165094009925,20.706644144144143,26.76375790855915,0.1596015602941824,25.01327668613914,3766
A02,120260,20.0,3.0741726259770497,1.839348079161816,1.6623007105132763,2.3033427573590552,50.0,19.930151338766006,15.16131714618327,44.652466367713004,9.884012016021362,0.24642219723530456,24.993237760346226,3697
B02,37511,19.999466823065234,1.6955026525552506,0.18128015782037268,8.863975604555192,4.806590066913706,49.97226844148641,18.255978246381062,15.368825144624243,34.065934065934066,34.418808411214954,0.19726322155643625,25.0,636
C02,52588,20.000760629801476,2.025176846428843,0.12360234273978854,15.158243522519598,4.02373164980604,50.0,18.036434167490683,14.739103978093862,15.616438356164384,32.10332103321033,0.19807469643790265,24.976525821596244,1065
D02,56035,20.0,2.555545641117159,0.5585794592665299,4.494614779812525,3.1105559025608995,49.97131382673551,18.17078611582047,14.697956634246454,17.641568139390166,40.45374189746612,0.24589661080839648,25.0,1432
E02,31790,20.0,3.302925448254168,0.3302925448254168,9.706135201841393,1.9345706196917267,49.91869918699187,19.726329034287513,10.478137779175842,7.449978714346531,41.6998883750598,0.14575938166460667,25.047619047619047,1050
F02,33857,20.001772159376202,2.5666774965295214,0.6616061671146292,3.821700309210298,2.3894615589095314,49.93819530284301,19.529196325722893,14.797530791269162,11.703187250996015,31.62431941923775,0.18421245814941786,24.971231300345227,869
G02,79634,20.000251149006708,1.8597583946555492,1.0912424341361728,1.6887819947788016,2.785242484365974,50.0,17.625637290604516,9.887736394002562,22.088946300055362,20.169563978341408,0.20552141721997344,24.983119513842,1481
H02,87215,20.0,2.454852949607292,0.7590437424754917,3.19208494136538,2.6853178925643526,50.0,18.03015536318294,5.172275411339792,10.960679821402852,20.019077901430844,0.12263082019877126,24.988323213451658,2141
A03,145070,20.0,1.2773143999448542,1.3490039291376577,0.9398901449500306,3.8622733852622875,49.991076209173656,19.78837802440201,13.685117529468533,43.38988745170502,19.772181001149544,0.17505434199219824,24.986508364813815,1853
B03,38095,20.0,1.6406352539703375,0.24675154219713874,6.389972344199695,3.4046462790392438,49.961449498843486,19.280745504659404,14.797217482609264,13.93596986817326,43.40367597004765,0.2095594855038094,24.959999999999997,625
C03,21231,19.999057981253827,3.541990485610664,1.2952757759879423,2.7135955104428318,2.8307663322500116,49.91680532445923,18.79798407988319,15.237153219349064,46.565934065934066,19.794537709847155,0.24492696288279664,25.0,752
D03,33227,20.0018057603756,1.0172450115869625,0.11135522316188641,8.382375188169444,4.333824901435579,50.0,18.776898305594848,16.09835374845758,21.686746987951807,34.81327135758936,0.1862862465288022,25.14792899408284,338
E03,86003,20.00046510005465,4.355662011790287,1.096473378835622,3.936526711897842,1.2883271513784402,50.0,18.929572224224735,14.00416264548911,42.98064516129032,33.47665847665848,0.09147001358744941,25.013347570742123,3746
F03,82704,20.000241826272006,3.490762236409364,0.8814567614625654,3.915795344557438,1.6819017218030567,49.96405463695183,19.21672470497195,14.852969626620235,31.86071483356343,32.077015038067074,0.18451996066169635,25.008659508139935,2887
G03,45583,20.000877520128117,6.710835179781936,0.2588684377947919,24.95954986320796,2.174056117412193,49.94954591321898,17.280565122962507,9.525480990720224,8.323251875151222,27.81515805509712,0.22944029158171655,25.00817260542661,3059
H03,35585,20.0,9.135871856119152,0.22762399887593085,38.44675579628305,1.8631445833918785,49.924585218702866,17.93452297316285,7.601517493325839,28.987730061349694,37.62143528674397,0.20032360339005348,25.007689941556443,3251
