sample,stage,morans_I,morans_p,morans_z
E02,Normal,0.04266065949399571,0.01,20.286652164759204
F02,Metaplasia,0.09020595972082422,0.01,45.63594388160763
G02,Cancer,0.4158529634981102,0.01,345.0192582795413
