sample_id,stage,patient,caf_mCAF,caf_iCAF,caf_apCAF,n_cells
A01,control,ctrl,0.7093353456260613,0.009171744504434424,-1.6942505097869907,31347
A02,control,ctrl,0.05691326966546856,0.01292341652858197,-0.897325315380372,19732
A03,control,ctrl,0.056616304759923554,0.04088247488166889,-1.2510558078652925,29680
A04,control,ctrl,0.6441552203311096,0.07576236604626602,-1.508148888892407,22666
B01,normal,SNU-105,0.12154018221104747,0.004150613892224432,-0.696633897023848,4473
B02,normal,SNU-105,0.7344635840001158,-0.03237430288047476,-1.068126202088701,6492
B03,normal,SNU-105,0.4061164175282912,-0.03817433863760081,-0.911799271061658,5820
B04,normal,SNU-105,-1.1301130589207316,-0.03760995184036344,4.17743845394177,21826
C01,metaplasia,SNU-105,0.547600288817348,-0.0032815251469370363,-0.664266282753079,6524
C03,metaplasia,SNU-105,0.7441378827678619,-0.03625268689810969,-1.1237455698763599,4178
C04,metaplasia,SNU-105,-0.36378253881484024,-0.0011472235078402993,2.565354419294679,14479
D01,cancer,SNU-105,1.1433699645053101,-0.051049535209405736,-0.9779462446619434,4315
D02,cancer,SNU-105,0.5506526664883211,-0.034789448386576174,-1.0032353939040233,10325
D03,cancer,SNU-105,1.1692713768844043,-0.03421394704566938,-1.537934841968278,5581
D04,cancer,SNU-105,-1.3773965817383407,-0.05271899716247889,4.688924129126807,28413
E01,normal,SNU-107,0.8347295952936333,0.01271007788490435,-0.3374414936189455,5293
E02,normal,SNU-107,0.15382834853445523,0.003472573542265835,-0.5664537786891204,4583
E03,normal,SNU-107,0.6591784286405987,0.010949641686928142,0.025315998288766007,18451
E04,normal,SNU-107,-0.11691984146975111,0.08834211792770763,0.29547541288763607,11358
F01,metaplasia,SNU-107,-0.07001912176045402,-0.030904287437659335,-0.0494804846197719,8460
F02,metaplasia,SNU-107,0.17848048601905744,-0.031948731445145005,-0.5216134995862889,5674
F03,metaplasia,SNU-107,0.41626971389447703,-0.019991210230514332,-0.4554069045743178,15839
F04,metaplasia,SNU-107,0.9097967808428761,0.00904388600536636,-0.42251972409534294,12317
G01,cancer,SNU-107,-1.2157431829423673,-0.058363760881841704,3.079391247004508,29838
G02,cancer,SNU-107,-0.054344905783480744,0.033366398815324556,-0.36218172347097566,10802
G03,cancer,SNU-107,0.03193978385486457,-0.055671348227845946,-0.4394857644108293,8106
G04,cancer,SNU-107,-0.01676833531581209,0.019920564630109112,1.0494130755114393,11188
H01,cancer,SNU-484,0.11903133246434769,-0.03359452237673154,0.4530772936820034,12049
H03,cancer,SNU-484,-0.030576716126144998,-0.05984866157446003,-0.4977616343161886,7046
